DEGREE_ID,DEGREE_NAME
01,"Agriculture, Agriculture Operations, And Related Sciences"
03,"Natural Resources And Conservation"
04,"Architecture And Related Services"
05,"Area, Ethnic, Cultural, Gender, And Group Studies"
09,"Communication, Journalism, And Related Programs"
10,"Communications Technologies/Technicians And Support Services"
11,"Computer And Information Sciences And Support Services"
12,"Personal And Culinary Services"
13,"Education"
14,"Engineering"
15,"Engineering Technologies And Engineering-Related Fields"
16,"Foreign Languages, Literatures, And Linguistics"
19,"Family And Consumer Sciences/Human Sciences"
22,"Legal Professions And Studies"
23,"English Language And Literature/Letters"
24,"Liberal Arts And Sciences, General Studies And Humanities"
25,"Library Science"
26,"Biological And Biomedical Sciences"
27,"Mathematics And Statistics"
29,"Military Technologies And Applied Sciences"
30,"Multi/Interdisciplinary Studies"
31,"Parks, Recreation, Leisure, And Fitness Studies"
38,"Philosophy And Religious Studies"
39,"Theology And Religious Vocations"
40,"Physical Sciences"
41,"Science Technologies/Technicians"
42,"Psychology"
43,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services"
44,"Public Administration And Social Service Professions"
45,"Social Sciences"
46,"Construction Trades"
47,"Mechanic And Repair Technologies/Technicians"
48,"Precision Production"
49,"Transportation And Materials Moving"
50,"Visual And Performing Arts"
51,"Health Professions And Related Programs"
52,"Business, Management, Marketing, And Related Support Services"
54,"History"
