unit_id,percentage,type_id
100654,0.0333,1
100654,0.9353,2
100654,0.0055,3
100654,0.0019,4
100654,0.0024,5
100654,0.0019,6
100654,0,7
100654,4206.0,10
100654,0.4831,11
100654,0.5169,12
100663,0.5922,1
100663,0.26,2
100663,0.0283,3
100663,0.0518,4
100663,0.0022,5
100663,0.0007,6
100663,0.0368,7
100663,11383.0,10
100663,0.4169,11
100663,0.5831,12
100690,0.299,1
100690,0.4192,2
100690,0.0069,3
100690,0.0034,4
100690,0,5
100690,0,6
100690,0,7
100690,291.0,10
100690,0.3986,11
100690,0.6014,12
100706,0.6988,1
100706,0.1255,2
100706,0.0382,3
100706,0.0376,4
100706,0.0143,5
100706,0.0002,6
100706,0.0172,7
100706,5451.0,10
100706,0.5733,11
100706,0.4267,12
100724,0.0158,1
100724,0.9208,2
100724,0.0121,3
100724,0.0019,4
100724,0.001,5
100724,0.0006,6
100724,0.0098,7
100724,4811.0,10
100724,0.3877,11
100724,0.6123,12
100751,0.7825,1
100751,0.1119,2
100751,0.0348,3
100751,0.0106,4
100751,0.0038,5
100751,0.0009,6
100751,0.0261,7
100751,29851.0,10
100751,0.458,11
100751,0.542,12
100760,0.7255,1
100760,0.2613,2
100760,0.0044,3
100760,0.0025,4
100760,0.0044,5
100760,0,6
100760,0,7
100760,1592.0,10
100760,0.3756,11
100760,0.6244,12
100812,0.7823,1
100812,0.12,2
100812,0.0191,3
100812,0.0053,4
100812,0.0157,5
100812,0.001,6
100812,0.0174,7
100812,2991.0,10
100812,0.3434,11
100812,0.6566,12
100830,0.5328,1
100830,0.3376,2
100830,0.0074,3
100830,0.0221,4
100830,0.0044,5
100830,0.0016,6
100830,0.0297,7
100830,4304.0,10
100830,0.3648,11
100830,0.6352,12
100858,0.8507,1
100858,0.0704,2
100858,0.0248,3
100858,0.0227,4
100858,0.0074,5
100858,0,6
100858,0,7
100858,20514.0,10
100858,0.5103,11
100858,0.4897,12
100937,0.7983,1
100937,0.1102,2
100937,0.0195,3
100937,0.0517,4
100937,0.0102,5
100937,0,6
100937,0.0051,7
100937,1180.0,10
100937,0.5381,11
100937,0.4619,12
101028,0.4661,1
101028,0.4372,2
101028,0.0492,3
101028,0.0127,4
101028,0.0023,5
101028,0.0035,6
101028,0.0151,7
101028,1727.0,10
101028,0.3683,11
101028,0.6317,12
101073,0.028,1
101073,0.8758,2
101073,0.0373,3
101073,0.0093,4
101073,0,5
101073,0,6
101073,0.0031,7
101073,322.0,10
101073,0.559,11
101073,0.441,12
101116,0.3046,1
101116,0.6054,2
101116,0.0153,3
101116,0.0153,4
101116,0.0153,5
101116,0.0096,6
101116,0,7
101116,522.0,10
101116,0.2625,11
101116,0.7375,12
101143,0.6408,1
101143,0.2435,2
101143,0.0509,3
101143,0.0202,4
101143,0.0081,5
101143,0.0029,6
101143,0.0254,7
101143,1729.0,10
101143,0.5396,11
101143,0.4604,12
101161,0.6979,1
101161,0.2259,2
101161,0.032,3
101161,0.0084,4
101161,0.0177,5
101161,0.0014,6
101161,0.0152,7
101161,4286.0,10
101161,0.3682,11
101161,0.6318,12
101189,0.3874,1
101189,0.5137,2
101189,0.0258,3
101189,0.0042,4
101189,0.0063,5
101189,0.0013,6
101189,0.0173,7
101189,2367.0,10
101189,0.3954,11
101189,0.6046,12
101240,0.6921,1
101240,0.2076,2
101240,0.0305,3
101240,0.0047,4
101240,0.0128,5
101240,0.0018,6
101240,0.0185,7
101240,4917.0,10
101240,0.4015,11
101240,0.5985,12
101277,0.8957,1
101277,0.0348,2
101277,0.0696,3
101277,0,4
101277,0,5
101277,0,6
101277,0,7
101277,115.0,10
101277,0.0174,11
101277,0.9826,12
101286,0.6273,1
101286,0.324,2
101286,0.0221,3
101286,0.0072,4
101286,0.0049,5
101286,0.0009,6
101286,0.0126,7
101286,4293.0,10
101286,0.3534,11
101286,0.6466,12
101295,0.863,1
101295,0.0612,2
101295,0.0362,3
101295,0.0065,4
101295,0.0089,5
101295,0,6
101295,0,7
101295,4920.0,10
101295,0.375,11
101295,0.625,12
101301,0.1956,1
101301,0.7449,2
101301,0.0026,3
101301,0.004,4
101301,0.0013,5
101301,0,6
101301,0.0033,7
101301,1513.0,10
101301,0.3543,11
101301,0.6457,12
101365,0.3543,1
101365,0.5265,2
101365,0.0166,3
101365,0.0066,4
101365,0,5
101365,0,6
101365,0.0563,7
101365,302.0,10
101365,0.3576,11
101365,0.6424,12
101435,0.6388,1
101435,0.1993,2
101435,0.0252,3
101435,0.0078,4
101435,0.0122,5
101435,0.0017,6
101435,0.0261,7
101435,1149.0,10
101435,0.5065,11
101435,0.4935,12
101453,0.7419,1
101453,0.1129,2
101453,0.0484,3
101453,0,4
101453,0.0323,5
101453,0.0161,6
101453,0,7
101453,62.0,10
101453,0.9194,11
101453,0.0806,12
101462,0.3337,1
101462,0.5965,2
101462,0.0246,3
101462,0.0082,4
101462,0.0113,5
101462,0.001,6
101462,0.0185,7
101462,974.0,10
101462,0.4435,11
101462,0.5565,12
101480,0.6834,1
101480,0.2382,2
101480,0.0132,3
101480,0.0055,4
101480,0.0072,5
101480,0.001,6
101480,0,7
101480,7060.0,10
101480,0.4285,11
101480,0.5715,12
101499,0.5857,1
101499,0.2982,2
101499,0.0077,3
101499,0.0252,4
101499,0.0252,5
101499,0,6
101499,0.0184,7
101499,1033.0,10
101499,0.4327,11
101499,0.5673,12
101505,0.6696,1
101505,0.2246,2
101505,0.0486,3
101505,0.0183,4
101505,0.0024,5
101505,0.0008,6
101505,0.0301,7
101505,7443.0,10
101505,0.3881,11
101505,0.6119,12
101514,0.6528,1
101514,0.194,2
101514,0.0435,3
101514,0.0257,4
101514,0.0182,5
101514,0.0006,6
101514,0.0428,7
101514,9380.0,10
101514,0.4334,11
101514,0.5666,12
101541,0.7553,1
101541,0.1622,2
101541,0.016,3
101541,0.0106,4
101541,0.0053,5
101541,0,6
101541,0.0053,7
101541,376.0,10
101541,0.0319,11
101541,0.9681,12
101569,0.1511,1
101569,0.7384,2
101569,0.0093,3
101569,0.0055,4
101569,0.0017,5
101569,0.0017,6
101569,0.0072,7
101569,2905.0,10
101569,0.4034,11
101569,0.5966,12
101587,0.4421,1
101587,0.4055,2
101587,0.0224,3
101587,0.0016,4
101587,0.0016,5
101587,0.001,6
101587,0.013,7
101587,1916.0,10
101587,0.441,11
101587,0.559,12
101602,0.692,1
101602,0.2728,2
101602,0.0122,3
101602,0.0057,4
101602,0.0043,5
101602,0,6
101602,0.0108,7
101602,1393.0,10
101602,0.379,11
101602,0.621,12
101648,0.5727,1
101648,0.2263,2
101648,0.1016,3
101648,0.0346,4
101648,0.0115,5
101648,0.0046,6
101648,0.0323,7
101648,433.0,10
101648,0.8129,11
101648,0.1871,12
101675,0.0169,1
101675,0.9719,2
101675,0.0028,3
101675,0,4
101675,0,5
101675,0.0006,6
101675,0.0056,7
101675,1778.0,10
101675,0.5107,11
101675,0.4893,12
101693,0.6479,1
101693,0.211,2
101693,0.0158,3
101693,0.0048,4
101693,0.0178,5
101693,0,6
101693,0.0233,7
101693,1460.0,10
101693,0.35,11
101693,0.65,12
101709,0.7266,1
101709,0.1384,2
101709,0.031,3
101709,0.0064,4
101709,0.0061,5
101709,0,6
101709,0.0234,7
101709,2644.0,10
101709,0.3343,11
101709,0.6657,12
101736,0.7912,1
101736,0.125,2
101736,0.0339,3
101736,0.0036,4
101736,0.0088,5
101736,0.0006,6
101736,0.0012,7
101736,3304.0,10
101736,0.4225,11
101736,0.5775,12
101879,0.7123,1
101879,0.1384,2
101879,0.0272,3
101879,0.0047,4
101879,0.0093,5
101879,0.0009,6
101879,0.0235,7
101879,5485.0,10
101879,0.4257,11
101879,0.5743,12
101897,0.867,1
101897,0.0225,2
101897,0.0665,3
101897,0.0054,4
101897,0.0265,5
101897,0.0009,6
101897,0.0054,7
101897,2225.0,10
101897,0.3694,11
101897,0.6306,12
101912,0.0059,1
101912,0.8514,2
101912,0.0234,3
101912,0.0016,4
101912,0.0059,5
101912,0,6
101912,0,7
101912,1878.0,10
101912,0.4318,11
101912,0.5682,12
101949,0.5441,1
101949,0.4203,2
101949,0.0059,3
101949,0.0042,4
101949,0.011,5
101949,0,6
101949,0.0068,7
101949,1180.0,10
101949,0.3653,11
