unit_id,in_state,out_state,net,instructional_expenditures
100654,9096,16596,9427,7437
100663,7510,17062,9899,17920
100690,6900,6900,12459,5532
100706,9158,21232,8956,10211
100724,8720,15656,7733,7618
100751,9826,24950,12791,10239
100760,3491,6576,2100,6847
100812,,,5476,6446
100830,9080,19640,8071,6837
100858,10200,27384,14135,11704
100937,31708,31708,10266,10658
101028,4320,7710,1641,4207
101073,10320,10320,5768,6755
101116,16360,16360,14833,6605
101143,3976,7140,2055,5522
101161,4260,7650,2423,4157
101189,18750,18750,11127,5826
101240,3168,5880,1702,5831
101277,,,7986,1961
101286,3960,7350,1928,6181
101295,4260,7650,2551,5159
101301,3960,7350,1184,5861
101365,12790,12790,11395,5800
101435,24550,24550,10131,6435
101453,9792,9792,10966,9085
101462,3384,6096,1292,4944
101480,7092,13884,6447,7283
101499,3968,7358,1178,5279
101505,4320,7710,2708,4733
101514,4260,7650,3170,3706
101541,16258,16258,8101,11427
101569,4290,7710,1374,6161
101587,8018,14886,7928,7552
101602,4230,7620,1684,6246
101648,8778,14778,3286,5088
101675,11604,11604,5202,5140
101693,19475,19475,9947,6766
101709,10660,21220,7568,7972
101736,4231,7621,1624,5099
101879,7412,13268,6702,7218
101897,4260,7650,1845,5637
101912,16720,16720,11693,7701
101949,4260,7650,1528,5962
101958,9685,9685,24156,9188
101994,4320,7710,1888,9032
102030,4260,7650,1494,5895
102049,27324,27324,18352,14553
102058,6680,6680,7596,6907
102067,3960,7350,2132,4615
102076,4320,7710,2171,3230
102094,7188,14076,7295,10870
102234,32468,32468,12082,7460
102261,11370,11370,10634,4617
102270,15865,15865,21345,9567
102298,12509,12509,18039,8739
102313,3336,6048,2493,8227
102368,7564,14092,8632,5643
102377,19570,19570,14104,14344
102395,,,14687,3335
102429,4290,7680,1961,6554
102553,5494,16466,5843,10594
102580,9300,9300,8132,9585
102614,5246,16238,6491,16892
102632,5901,16705,6117,12814
102669,19610,19610,13383,11261
102711,,,4340,21957
102845,19532,19532,8755,2617
103501,,,11905,4178
103644,12204,12204,13130,7785
103723,,,33714,15126
103732,,,8183,13914
103741,,,8029,6111
103778,,,71514,55110
103787,11700,11700,3313,8378
103811,,,7854,5458
103893,,,13638,3582
103909,,,14755,6542
103927,,,13497,2581
103945,16968,16968,17541,3873
103954,,,10287,6566
103963,,,17356,7086
104090,,,16664,6269
104151,10157,24503,12460,9671
104160,2480,8085,679,5285
104179,10957,29421,12441,12071
104188,23069,23069,19099,2963
104346,2400,10440,1192,6512
104364,13203,13203,10380,3883
104391,,,8454,1830
104425,1800,6000,744,3140
104434,,,8056,6584
104443,,,8320,6356
104504,,,7758,3265
104568,,,7516,3770
104577,2000,9200,752,5555
104586,31648,31648,26607,14781
104665,,,52798,38544
104708,2046,7830,1489,4684
104717,17050,17050,10550,1837
104911,,,9428,5705
105145,2046,7830,2394,5491
105154,2046,7830,1957,4701
105163,18048,18048,19470,1722
105172,18048,18048,19621,1925
105206,2088,6888,1568,3613
105215,,,9773,3365
105297,725,725,157,9532
105330,9990,22510,7331,7510
105349,1664,7640,1245,6303
105367,11670,11670,6371,1771
105428,2046,7830,1488,5044
105482,,,7936,5427
105525,1844,8048,1742,3914
105534,,,6165,2713
105543,,,5857,3033
105589,26415,26415,17501,7738
105659,,,10449,1491
105668,2046,7830,2724,2173
105677,,,10458,9626
105701,,,3587,6080
105747,2046,7830,2294,6584
105792,2046,7830,982,5705
105899,22466,22466,9345,6537
105987,,,12540,3443
106041,,,12401,3241
106102,6000,6000,8252,3306
106111,,,8236,7609
106148,1896,8088,2060,5818
106245,7432,17764,6640,7485
106263,,,12646,62580
106281,,,6541,10718
106306,8040,8040,8166,4684
106315,,,5590,3417
106324,,,7668,3272
106342,24300,24300,9009,10540
106351,,,8127,1702
106360,,,11169,5724
106397,8210,20300,7143,9069
106412,6178,11908,2164,7827
106449,2808,4518,1750,4949
106458,7720,13480,3633,5358
106467,5862,10878,3668,4516
106485,6082,12052,2942,7186
106494,,,10747,5534
106546,8402,8402,4441,5108
106625,2688,5232,1435,4328
106704,7889,13806,4697,6788
106713,13800,13800,8783,5018
106795,2332,5212,1165,5918
106810,11800,11800,7679,3030
106829,1350,1350,439,7567
106883,2610,3390,1538,4156
106892,,,5332,1740
106908,,,6347,3538
106980,3140,4540,1809,5816
106999,2262,3942,1221,6530
107044,17040,17040,12463,9684
107071,7860,14220,3067,6495
107080,39290,39290,11902,11426
107099,,,9965,5496
107123,,,3541,4721
107141,23588,23588,10593,7556
107211,,,5087,5915
107220,,,11468,3470
107293,,,8019,5929
107318,2554,7594,7747,12448
107327,1954,3634,1285,9608
107363,,,5339,4544
107442,,,4526,1857
107460,1896,4176,942,5405
107488,2321,2321,2575,9710
107512,23320,23320,10798,8934
107521,3310,5950,1606,5258
107549,2680,5032,827,3782
107558,24470,24470,10822,9797
107585,2732,3788,1911,3836
107600,12564,12564,7317,6539
107619,2583,4315,431,6863
107637,3070,5590,1884,4811
107655,,,5258,1973
107664,4013,5753,1450,3618
107725,2281,4396,1197,5506
107743,2352,5280,1318,4541
107789,,,7790,4460
107831,,,1384,850
107840,4200,4200,5005,1006
107877,14360,14360,6711,5047
107974,2330,4442,1636,6799
107983,7736,11186,3602,6436
107992,4677,6117,2349,6710
108065,,,390,720
108092,4727,10511,2356,5534
108232,19740,19740,25086,12136
108250,18048,18048,18433,3361
108269,,,7414,4146
108348,,,12261,1471
108649,,,7387,3878
108667,1144,6256,1067,3772
108807,1346,6750,678,4454
108852,30650,30650,23615,6652
108861,,,11239,17070
108870,,,26320,6831
108977,,,6960,2623
109040,,,11851,3829
109086,,,25044,17174
109208,1104,7272,451,3481
109350,1104,5664,350,3710
109651,37830,37830,30191,19131
109721,,,15296,5156
109730,,,15755,5107
109785,33096,33096,18423,10128
109819,1324,7120,540,4564
109907,1104,5400,339,3890
109934,,,11921,4349
110060,9120,9120,4432,3426
110097,33322,33322,21146,10696
