UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN
100654,0.1102,,0.3525,,0.324519626,,0.1429,0.3581,0,,0,,,0.0833,,,,,,,,,,,0.6595,,0.3333,,0.8284
100663,0.3258,,0.5554,,0.546104802,,0.5506,0.5221,0.6071,0.7143,0.375,1,1,0.7222,0.4717,,,,,,,,,,0.8288,,0.575,,0.5214
100690,0,,0.2222,,0.294111765,,,0.1667,,,,,,,0.3333,,,,,,,,,,0,,0.6667,,0.7795
100706,0.1516,,0.4614,,0.472406496,,0.4792,0.3028,0.5,0.65,0.4286,,0.5833,0.5263,0.5,,,,,,,,,,0.7696,,0.6154,,0.4596
100724,0.0752,,0.2632,,0.257404961,,0.4444,0.2599,0,0,0,,1,,1,,,,,,,,,,0.5725,,0.28,,0.7554
100751,0.3877,,0.6566,,0.66125081,,0.6652,0.6016,0.6321,0.5909,0.5652,,,0.6667,,,,,,,,,,,0.867,,0.6,,0.401
100760,,0.1022,,0.1397,,0.115155377,,,,,,,,,,0.1608,0.0925,0.1429,1,0,0,,0,0,,0.4915,,0.5055,0.3977
100812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6296
100830,0.0863,,0.2194,,0.241364395,,0.2623,0.15,0,0.3333,0.25,,,0.4444,0.1538,,,,,,,,,,0.652,,0.3659,,0.5803
100858,0.4225,,0.7086,,0.693542081,,0.7203,0.6044,0.6458,0.6622,0.7143,,,0.5,0.6176,,,,,,,,,,0.9052,,0.6,,0.3494
100937,0.5622,,0.6422,,0.630712792,,0.6685,0.4,0.375,0.7273,1,,,,0.5,,,,,,,,,,0.8371,,,,0.4809
101028,,0.0256,,0.1186,,0.12587551,,,,,,,,,,0.1699,0.0694,0.1,0,,,0,,0,,0.5315,,0.2955,0.2537
101073,0.0536,,0.25,,0.23123125,,0,0.242,0,,,,,0.75,,,,,,,,,,,0.5238,,0.5,,0.9333
101116,0.0476,,0.093,,0.085078723,,0.2353,0,,,,,,,,,,,,,,,,,0.5,,0.2857,,0.7129
101143,,0.0615,,0.0881,,0.109096032,,,,,,,,,,0.0967,0.0513,0.1111,0.1667,0.1429,,0.1429,0,0,,0.5029,,0.3649,0.2263
101161,,0.074,,0.1093,,0.104162596,,,,,,,,,,0.1075,0.1141,0.1364,0,0.0769,0,0.1111,,0,,0.603,,0.3524,0.3741
101189,0.1193,,0.3073,,0.262231898,,0.3464,0.1837,0.3333,0,0.3333,,0,0.6,0,,,,,,,,,,0.6028,,0.3333,,0.7253
101240,,0.0609,,0.1283,,0.136799001,,,,,,,,,,0.134,0.1093,0.1778,0.2,0,0,0.0968,0,0.3333,,0.5258,,0.4163,0
101277,,0.375,,0.7321,,0.733308889,,,,,,,,,,,,,,,,,,,,0.8205,,,0.8553
101286,,0.034,,0.1481,,0.148545558,,,,,,,,,,0.1664,0.1086,0.1538,0.5,,,0.2143,,0,,0.5631,,0.4608,0
101295,,0.114,,0.2358,,0.213542756,,,,,,,,,,0.2433,0.1833,0.2069,0,0.1667,,,,0.1667,,0.6329,,0.4822,0.4192
101301,,0.0851,,0.2021,,0.226286473,,,,,,,,,,0.3067,0.1785,,,,0,,,,,0.6092,,0.4054,0
101365,0,,0.4,,0.246169231,,0.4,0.3846,1,,,,,,0,,,,,,,,,,0,,,,0.7736
101435,0.3004,,0.4506,,0.441176667,,0.4592,0.4286,0.25,,0,,,1,0.4444,,,,,,,,,,0.705,,,,0.7153
101453,0.25,,0.5,,0.181818182,,0.5,,,,,,,,,,,,,,,,,,0.5714,,,,0.4493
101462,,0.0181,,0.1205,,0.139596447,,,,,,,,,,0.1837,0.1019,0,,0,,0,,0,,0.3873,,0.2535,0
101480,0.0869,,0.3009,,0.304613347,,0.3478,0.2199,0.2143,0.375,0.5714,,,0.5556,0.1905,,,,,,,,,,0.718,,0.5625,,0.6825
101499,,0.1752,,0.1825,,0.237949814,,,,,,,,,,0.2101,0.2083,0,0,0,,1,,0,,0.5163,,0.3774,0
101505,,0.0197,,0.0489,,0.057205333,,,,,,,,,,0.0569,0.0328,0.0233,0.0625,0,0,0.0606,0,0,,0.5565,,0.4529,0.2101
101514,,0.0732,,0.1266,,0.130149982,,,,,,,,,,0.1505,0.0691,0.0755,0.0714,0.1667,0,0.1429,,0.0625,,0.582,,0.4474,0.3024
101541,0.3684,,0.4316,,0.419568391,,0.4737,0.3,0.25,,1,,,,0,,,,,,,,,,0.5606,,0,,0.7205
101569,,0.0314,,0.0952,,0.143546309,,,,,,,,,,0.1553,0.0854,0.1,,,0,0,1,0.0923,,0.4991,,0.3509,0
101587,0.1951,,0.329,,0.322358216,,0.3896,0.2759,0.3333,0,0.25,,,,0,,,,,,,,,,0.6451,,0.6,,0.6733
101602,,0.1114,,0.1936,,0.199961358,,,,,,,,,,0.2154,0.1321,0.3333,0,1,,0,,0.5,,0.6024,,0.4074,0
101648,,0.2362,,0.2694,,0.260011,,,,,,,,,,0.2744,0.2453,0.3333,0.375,0,0,0.0833,,,,0.3534,,,0.6244
101675,0.0824,,0.2017,,0.209038754,,0,0.2143,0,,,,0,,0,,,,,,,,,,0.5236,,0,,0.9244
101693,0.249,,0.4106,,0.447160352,,0.4335,0.2174,0,0.25,1,,0,0.3,0.4286,,,,,,,,,,0.7713,,0,,0.7576
101709,0.2071,,0.4438,,0.446483333,,0.4346,0.5714,0.5833,0.4,0.25,,,,0.4054,,,,,,,,,,0.7881,,0.4167,,0.5856
