UNITID,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,SAT_AVG,SAT_AVG_ALL
100654,0.5256,0.52560347439652,377.0,470.0,370.0,470.0,370.0,470.0,424.0,420.0,420.0,827.0,827.0
100663,0.8569,0.85691768826619,500.0,640.0,490.0,640.0,,,570.0,565.0,,1107.0,1107.0
100690,,,,,,,,,,,,,
100706,0.8203,0.8203422053231899,520.0,670.0,530.0,650.0,,,595.0,590.0,,1219.0,1219.0
100724,0.5326,0.53264694382901,380.0,470.0,380.0,480.0,,,425.0,430.0,,851.0,851.0
100751,0.5105,0.51046359971543,490.0,620.0,500.0,630.0,480.0,600.0,555.0,565.0,540.0,1185.0,1185.0
100760,,,,,,,,,,,,,
100812,,,,,,,,,,,,,
100830,0.8017,0.8016957136128101,433.0,538.0,468.0,550.0,,,486.0,509.0,,1009.0,1009.0
100858,0.8347,0.83465031253685,520.0,630.0,530.0,645.0,520.0,610.0,575.0,588.0,565.0,1215.0,1215.0
100937,0.5339,0.53393501805054,500.0,620.0,500.0,620.0,,,560.0,560.0,,1181.0,1181.0
101028,,,,,,,,,,,,,
101073,0.5328,0.5328467153284601,320.0,520.0,200.0,600.0,,,420.0,400.0,,942.0,942.0
101116,,,,,,,,,,,,,
101143,,,,,,,,,,,,,
101161,,,,,,,,,,,,,
101189,,,,,,,,,,,,,
101240,,,,,,,,,,,,,
101277,,,,,,,,,,,,,
101286,,,,,,,,,,,,,
101295,,,,,,,,,,,,,
101301,,,,,,,,,,,,,
101365,1.0,1.0,,,,,,,,,,,
101435,0.5839,0.58385525400139,460.0,560.0,450.0,530.0,,,510.0,490.0,,1026.0,1026.0
101453,1.0,1.0,,,,,,,,,,,
101462,,,,,,,,,,,,,
101480,0.8326,0.83260357022566,430.0,560.0,430.0,540.0,,,495.0,485.0,,1041.0,1041.0
101499,,,,,,,,,,,,,
101505,,,,,,,,,,,,,
101514,,,,,,,,,,,,,
101541,0.6525,0.65254237288135,,,,,,,,,,,
101569,,,,,,,,,,,,,
101587,0.7199,0.7199211045364801,,,,,,,,,,990.0,990.0
101602,,,,,,,,,,,,,
101648,0.6139,0.61386138613861,495.0,605.0,500.0,615.0,,,550.0,558.0,,1055.0,1055.0
101675,,,,,,,,,,,,,
101693,0.5847,0.58473736372646,410.0,530.0,420.0,510.0,,,470.0,465.0,,1014.0,1014.0
101709,0.743,0.7429983525535401,495.0,600.0,460.0,595.0,480.0,585.0,548.0,528.0,533.0,1070.0,1070.0
101736,,,,,,,,,,,,,
101879,0.6788,0.6788426763110301,418.0,593.0,438.0,530.0,,,506.0,484.0,,1029.0,1029.0
101897,,,,,,,,,,,,,
101912,0.4787,0.47865275142315,422.0,530.0,390.0,510.0,,,476.0,450.0,,928.0,928.0
101949,,,,,,,,,,,,,
101958,,,,,,,,,,,,,
101994,,,,,,,,,,,,,
102030,,,,,,,,,,,,,
102049,0.5954,0.5953681450731899,510.0,620.0,500.0,615.0,500.0,610.0,565.0,558.0,555.0,1165.0,1165.0
102058,,,,,,,,,,,,,
102067,,,,,,,,,,,,,
102076,,,,,,,,,,,,,
102094,0.8335,0.8334858188472,450.0,570.0,450.0,585.0,430.0,540.0,510.0,518.0,485.0,1048.0,1048.0
102234,0.5177,0.51769415532425,470.0,600.0,480.0,595.0,,,535.0,538.0,,1116.0,1116.0
102261,1.0,1.0,,,,,,,,,,930.0,930.0
102270,0.5901,0.59009532666821,400.0,495.0,353.0,495.0,,,448.0,424.0,,811.0,811.0
102298,,,,,,,,,,,,,
102313,,,,,,,,,,,,,
102368,0.4414,0.4414457070707,,,,,,,,,,1050.0,1050.0
102377,0.4922,0.49219800914716,400.0,510.0,410.0,520.0,,,455.0,465.0,,978.0,978.0
102395,,,,,,,,,,,,,
102429,,,,,,,,,,,,,
102553,,,,,,,,,,,,,
102580,,,,,,,,,,,,,
102614,,,,,,,,,,,,,
102632,,,,,,,,,,,,,
102669,0.4207,0.42073170731707,500.0,610.0,450.0,555.0,500.0,560.0,555.0,503.0,530.0,1054.0,1054.0
102711,,,,,,,,,,,,,
102845,,,,,,,,,,,,,
103501,,,,,,,,,,,,,
103644,,,,,,,,,,,,,
103723,,,,,,,,,,,,,
103732,,,,,,,,,,,,,
103741,,,,,,,,,,,,,
103778,,,,,,,,,,,,,
103787,,,,,,,,,,,,,
103811,,,,,,,,,,,,,
103893,0.9904,0.99272727272727,,,,,,,,,,,
103909,1.0,0.99272727272727,,,,,,,,,,,
103927,1.0,0.99272727272727,,,,,,,,,,,
103945,,,,,,,,,,,,,
103954,,,,,,,,,,,,,
103963,,,,,,,,,,,,,
104090,,,,,,,,,,,,,
104151,0.8433,0.7844305120167099,500.0,630.0,520.0,640.0,,,565.0,580.0,,1145.0,1135.0
104160,,,,,,,,,,,,,
104179,0.7462,0.74617241695443,,,,,,,,,,,
104188,,,,,,,,,,,,,
104346,,,,,,,,,,,,,
104364,,,,,,,,,,,,,
104391,,,,,,,,,,,,,
104425,,,,,,,,,,,,,
104434,,,,,,,,,,,,,
104443,,,,,,,,,,,,,
104504,,,,,,,,,,,,,
104568,,,,,,,,,,,,,
104577,,,,,,,,,,,,,
104586,0.8016,0.74323927101704,,,,,,,,,,,
104665,,,,,,,,,,,,,
104708,,,,,,,,,,,,,
104717,0.5757,0.57566629011338,,,,,,,,,,,
104911,,,,,,,,,,,,,
105145,,,,,,,,,,,,,
105154,,,,,,,,,,,,,
105163,0.9358,0.8536115205805601,,,,,,,,,,,
105172,0.9191,0.8536115205805601,,,,,,,,,,,
105206,,,,,,,,,,,,,
105215,,,,,,,,,,,,,
105297,,,,,,,,,,,,,
105330,0.8099,0.80994976502997,,,,,,,,,,,
105349,,,,,,,,,,,,,
105367,,0.99473684210526,,,,,,,,,,,
105428,,,,,,,,,,,,,
105482,,,,,,,,,,,,,
105525,,,,,,,,,,,,,
105534,,,,,,,,,,,,,
105543,,,,,,,,,,,,,
105589,0.6873,0.68725868725868,455.0,635.0,435.0,570.0,430.0,575.0,545.0,503.0,503.0,1073.0,1073.0
105659,,,,,,,,,,,,,
105668,,,,,,,,,,,,,
105677,,,,,,,,,,,,,
105701,,,,,,,,,,,,,
105747,,,,,,,,,,,,,
105792,,,,,,,,,,,,,
105899,0.5673,0.5672727272727199,420.0,550.0,420.0,540.0,,,485.0,480.0,,988.0,988.0
105987,,,,,,,,,,,,,
106041,,,,,,,,,,,,,
106102,,,,,,,,,,,,,
106111,,,,,,,,,,,,,
106148,,,,,,,,,,,,,
106245,0.5928,0.59280411193603,410.0,530.0,460.0,560.0,410.0,500.0,470.0,510.0,455.0,1048.0,1048.0
106263,,,,,,,,,,,,,
106281,,,,,,,,,,,,,
106306,,,,,,,,,,,,,
106315,,,,,,,,,,,,,
106324,,,,,,,,,,,,,
106342,0.6142,0.61424180327868,465.0,545.0,475.0,580.0,435.0,510.0,505.0,528.0,473.0,1109.0,1109.0
106351,,,,,,,,,,,,,
106360,,,,,,,,,,,,,
106397,0.6204,0.62036451748841,500.0,610.0,510.0,620.0,,,555.0,565.0,,1155.0,1155.0
106412,0.3868,0.38683010262257,370.0,450.0,393.0,460.0,368.0,453.0,410.0,427.0,411.0,886.0,886.0
106449,,,,,,,,,,,,,
106458,0.7239,0.72394809280377,420.0,500.0,480.0,560.0,400.0,490.0,460.0,520.0,445.0,1088.0,1088.0
106467,0.8626,0.86256607400288,410.0,580.0,440.0,630.0,410.0,580.0,495.0,535.0,495.0,1010.0,1010.0
106485,,,,,,,,,,,,,
106494,,,,,,,,,,,,,
106546,0.6154,0.61538461538461,,,,,,,,,,990.0,990.0
106625,,,,,,,,,,,,,
106704,0.9426,0.94263565891472,430.0,550.0,450.0,580.0,420.0,530.0,490.0,515.0,475.0,1049.0,1049.0
106713,0.5697,0.5696721311475401,420.0,470.0,460.0,540.0,410.0,490.0,445.0,500.0,450.0,985.0,985.0
106795,,,,,,,,,,,,,
106810,,,,,,,,,,,,,
106829,,,,,,,,,,,,,
106883,,,,,,,,,,,,,
106892,,,,,,,,,,,,,
106908,,,,,,,,,,,,,
106980,,,,,,,,,,,,,
106999,,,,,,,,,,,,,
107044,0.9912,0.9911855442926399,480.0,610.0,470.0,610.0,,,545.0,540.0,,1131.0,1131.0
107071,0.6278,0.62783534024082,440.0,530.0,460.0,530.0,,,485.0,495.0,,989.0,989.0
107080,0.8282,0.8282282282282198,540.0,660.0,540.0,660.0,,,600.0,600.0,,1244.0,1244.0
107099,,,,,,,,,,,,,
107123,,,,,,,,,,,,,
107141,0.6978,0.6977518734388,,,,,,,,,,,
107211,,,,,,,,,,,,,
107220,,,,,,,,,,,,,
107293,,,,,,,,,,,,,
107318,,,,,,,,,,,,,
107327,,,,,,,,,,,,,
107363,,,,,,,,,,,,,
107442,,,,,,,,,,,,,
107460,,,,,,,,,,,,,
107488,,,,,,,,,,,,,
107512,0.7061,0.70612009237875,470.0,580.0,490.0,590.0,,,525.0,540.0,,1112.0,1112.0
107521,,,,,,,,,,,,,
107549,,,,,,,,,,,,,
107558,0.8892,0.88922155688622,450.0,540.0,480.0,560.0,430.0,490.0,495.0,520.0,460.0,1061.0,1061.0
107585,0.6181,0.61810699588477,470.0,510.0,470.0,480.0,420.0,490.0,490.0,475.0,455.0,930.0,930.0
107600,,,,,,,,,,,,,
107619,,,,,,,,,,,,,
107637,,,,,,,,,,,,,
107655,,,,,,,,,,,,,
107664,,,,,,,,,,,,,
107725,,,,,,,,,,,,,
107743,,,,,,,,,,,,,
107789,,,,,,,,,,,,,
107831,,,,,,,,,,,,,
107840,,,,,,,,,,,,,
107877,0.7049,0.70486111111111,380.0,470.0,450.0,540.0,,,425.0,495.0,,983.0,983.0
107974,,,,,,,,,,,,,
107983,0.7142,0.7142286171063101,410.0,540.0,440.0,540.0,,,475.0,490.0,,989.0,989.0
107992,,,,,,,,,,,,,
108065,,,,,,,,,,,,,
108092,0.5629,0.5628592851787,,,,,,,,,,,
108232,,,,,,,,,,,,,
108250,0.8599,0.8536115205805601,,,,,,,,,,,
108269,,,,,,,,,,,,,
108348,,,,,,,,,,,,,
108649,,,,,,,,,,,,,
108667,,,,,,,,,,,,,
108807,,,,,,,,,,,,,
108852,0.2016,0.28931750741839,,,,,,,,,,,
108861,,,,,,,,,,,,,
108870,,,,,,,,,,,,,
108977,,,,,,,,,,,,,
109040,,,,,,,,,,,,,
109086,,,,,,,,,,,,,
109208,,,,,,,,,,,,,
109350,,,,,,,,,,,,,
109651,0.809,0.8089887640449399,,,,,,,,,,,
109721,,,,,,,,,,,,,
109730,,,,,,,,,,,,,
109785,0.8183,0.81833910034602,490.0,540.0,490.0,540.0,480.0,530.0,515.0,515.0,505.0,1037.0,1037.0
109819,,,,,,,,,,,,,
109907,,,,,,,,,,,,,
109934,,,,,,,,,,,,,
110060,0.6686,0.6686046511627901,,,,,,,,,,,
110097,0.754,0.75400103252452,490.0,620.0,490.0,620.0,490.0,610.0,555.0,555.0,550.0,1122.0,1122.0
110185,0.9912,0.9912023460410501,,,,,,,,,,,
110194,,,,,,,,,,,,,
110219,,,,,,,,,,,,,
110246,,,,,,,,,,,,,
110307,,,,,,,,,,,,,
110316,,,,,,,,,,,,,
110334,,,,,,,,,,,,,
110361,0.7967,0.7967228686772699,420.0,550.0,420.0,550.0,420.0,530.0,485.0,485.0,475.0,976.0,976.0
110370,0.6369,0.6369077306733101,,,,,,,,,,,
110398,,,,,,,,,,,,,
110404,0.0883,0.08827586206896001,730.0,800.0,770.0,800.0,730.0,790.0,765.0,785.0,760.0,1545.0,1545.0
110413,0.6097,0.60970724191063,500.0,600.0,500.0,600.0,500.0,590.0,550.0,550.0,545.0,1109.0,1109.0
110422,0.3089,0.30888797589701,550.0,640.0,580.0,680.0,,,595.0,630.0,,1234.0,1234.0
110468,0.3855,0.38554216867469,,,,,,,,,,,
110486,0.706,0.7059514487079,,,,,,,,,,,
110495,0.7272,0.72722922316158,,,,,,,,,,,
110510,0.8445,0.84446159783867,390.0,490.0,400.0,500.0,,,440.0,450.0,,884.0,884.0
110529,0.5187,0.5187330427094999,450.0,580.0,480.0,630.0,,,515.0,555.0,,1074.0,1074.0
110538,0.7096,0.70956036287508,440.0,550.0,440.0,550.0,,,495.0,495.0,,996.0,996.0
110547,0.4234,0.42342741425136,,,,,,,,,,,
110556,0.594,0.59402024889263,390.0,510.0,400.0,520.0,,,450.0,460.0,,910.0,910.0
110565,0.4447,0.44468318886582003,450.0,550.0,470.0,580.0,,,500.0,525.0,,1021.0,1021.0
110574,0.7031,0.70314483147651,,,,,,,,,,,
110583,0.3546,0.35459334984822,460.0,570.0,480.0,600.0,,,515.0,540.0,,1054.0,1054.0
110592,0.6107,0.6107438815980301,390.0,480.0,390.0,500.0,,,435.0,445.0,,871.0,871.0
110608,0.5286,0.52857485173425,400.0,510.0,400.0,520.0,,,455.0,460.0,,914.0,914.0
110617,0.7265,0.72649651972157,410.0,520.0,420.0,530.0,,,465.0,475.0,,937.0,937.0
110635,0.1602,0.16020167520533,600.0,730.0,640.0,770.0,620.0,750.0,665.0,705.0,685.0,1382.0,1382.0
110644,0.4037,0.40368002907024,510.0,640.0,560.0,700.0,540.0,660.0,575.0,630.0,600.0,1226.0,1226.0
110653,0.3742,0.37420130797564,480.0,600.0,550.0,690.0,510.0,620.0,540.0,620.0,565.0,1168.0,1168.0
110662,0.1856,0.18557380080196,580.0,710.0,610.0,750.0,600.0,730.0,645.0,680.0,665.0,1330.0,1330.0
110671,0.5829,0.5829201407163199,490.0,600.0,520.0,650.0,500.0,610.0,545.0,585.0,555.0,1128.0,1128.0
110680,0.3329,0.33287495915477,560.0,670.0,630.0,760.0,590.0,700.0,615.0,695.0,645.0,1313.0,1313.0
110699,,,,,,,,,,,,,
110705,0.3634,0.36344723332284995,530.0,660.0,570.0,710.0,560.0,670.0,595.0,640.0,615.0,1253.0,1253.0
110714,0.5572,0.5572470351363901,480.0,620.0,510.0,650.0,490.0,620.0,550.0,580.0,555.0,1149.0,1149.0
110778,,,,,,,,,,,,,
110875,,,,,,,,,,,,,
110918,,,,,,,,,,,,,
111009,,,,,,,,,,,,,
111054,,,,,,,,,,,,,
111081,0.2442,0.24421831637372,,,,,,,,,,,
111188,0.667,0.66696914700544,,,,,,,,,,,
111391,,,,,,,,,,,,,
111434,,,,,,,,,,,,,
111461,,,,,,,,,,,,,
111513,,,,,,,,,,,,,
111638,0.875,0.875,,,,,,,,,,,
111708,,,,,,,,,,,,,
111717,,,,,,,,,,,,,
111726,,,,,,,,,,,,,
111744,,,,,,,,,,,,,
111762,,,,,,,,,,,,,
111799,,,,,,,,,,,,,
111887,,,,,,,,,,,,,
111896,,,,,,,,,,,,,
111920,,,,,,,,,,,,,
111939,,,,,,,,,,,,,
