UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
100654,33888,11500,14413,18255,17250,15000,18951,17500,14331,15738,15000,48312,33634,8000,4750,0.888976689
100663,21941.5,10000,14725,14692.5,14000,14500,14093,14725,14000,14582,14250,37500,26000,6500,3666,0.861990008
100690,23370,8687.5,8563,15750,13882,5498,10175,10875,8563,9496,11000,37502,22894.5,4750,3166,0.942598187
100706,24097,9500,17107,16938,14000,15000,18750,16500,15245.5,16875,15500,39250,28000,6750,3655,0.860371673
100724,33118.5,11500,14250,15019,14250,14250,14840,15500,13738,14971.5,14250,44495,30750,7918,4701,0.847371968
100751,23750,10000,18250,17250,16500,17250,17741.5,17750,16513.5,18024,17000,34500,27000,7500,4750,0.901944895
100760,16127,6113,7174.5,6239,4500,4500,9788,7381.5,5500,8000,5500,26000,14283,3500,2250,0.455589587
100812,18595,8699,12833,13629,12258,8750,14595,12832,12666,13562,12500,33524,24471,6250,3384,0.764894299
100830,21335,6750,9500,10500,10250,9000,12500,10500,9500,11250,9500,37015,21750,4750,2750,0.877063423
100858,21831,8250,16500,18750,17475,17500,18000,18000,17000,19500,16907.5,34000,27000,7500,4766,0.872159091
100937,27000,10500,19750,25717,21500,PrivacySuppressed,PrivacySuppressed,26151,19750,19500,24176,37416,27000,7500,5500,0.927007299
101028,9000,5499.5,5500,5800,5500,4470,6334,6122,4638,5928.5,5500,15834,9500,3298,2000,0.364307692
101073,32000,9500,9500,PrivacySuppressed,PrivacySuppressed,9500,9875,11000,8250,9500,9500,26625,15000,4750,2750,0.794776119
101116,25167,6334,8171,10559,12387.5,9500,9500,9500,9500,9500,9500,33000,20000,4312,2000,0.780815896
101143,8273,5500,6164,5500,5500,4611,7266,5500,6332,6334,5500,17452,11613,2750,1568,0.321839081
101161,11000,5500,5500,5500,5500,5500,6745,5832,5215,5500,5500,15890,10500,3125,1926,0.547687861
101189,22000,12500,16600,14025,13500,9500,18750,18667,10500,16750,14250,37748,26000,6125,3166,0.926960258
101240,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101277,5500,5972.5,6153,PrivacySuppressed,PrivacySuppressed,5500,9500,PrivacySuppressed,PrivacySuppressed,5500,5500,11717,9500,5000,3033,0.835526316
101286,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101295,11186,6865,8000,8000,6750,5500,10104,8708,5500,8000,7587.5,23553,14000,4000,2250,0.541101817
101301,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101365,23216.5,7750,9500,14750,14995,10158,10814,10971,9607,10500,11095,35989,22892,4750,2371,0.872325334
101435,26230,9014.5,14764,19120,15764,12875,22000,21500,12000,18750,14947,37500,27125,6794.5,4750,0.921052632
101453,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5
101462,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101480,23000,11000,17234,16200,14000,15000,18000,17500,14137,17322,15250,41250,28250,7500,4308,0.816633923
101499,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101505,8916.5,3500,3500,4500,5500,3500,4500,4500,4000,4500,4500,13500,8500,2250,1750,0.424159855
101514,10500,5500,5500,5500,5500,5460,6795,5750,5500,5500,5500,17250,10697,3000,1750,0.537164041
101541,26000,14000,14250,19000,19500,16857,16640.5,PrivacySuppressed,PrivacySuppressed,19000,15625,35605,26000,5750,3440,0.658450704
101569,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101587,24253,9500,13182,12000,9699.5,13787,10847,13834,11000,13718.5,12000,36688.5,25035.5,5500,2750,0.874331551
101602,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101648,11500,5500,5500,5500,5500,PrivacySuppressed,PrivacySuppressed,6500,5500,5500,5500,13551,11500,4500,2750,0.825123153
101675,36789.5,9500,11505,14259.5,14250,11000,15970,16750,9500,10862,13461,43519,29500,5500,4019,0.824527071
101693,27000,20000,25000,20500,19450,18750,26648,23750,18750,24250,21255,47000,32813,10500,5500,0.902439024
101709,23266,11000,15000,17000,15000,15000,19210,16061,14250,16500,15000,37000,27000,6500,4078,0.860300619
101736,11250,4500,5000,4500,4250,4200,6750,5250,4500,5250,4500,18306,10270,2750,1750,0.323244552
101879,21500,8250,12000,13405,13552,12000,14078.5,14000,11238,13346,12500,32875,24900,5500,3136,0.833118833
101897,4500,3023,3500,3475,4650,3100,4000,3500,3400,3500,3500,10100,6575,2025,1300,0.157240522
101912,27250,21250,22750,24500,24250,23250,24268,25000,21500,25125,23000,46625,34500,9500,5500,0.893902439
101949,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
101958,20992,14405,13863,18012,16693,21436,15426,PrivacySuppressed,PrivacySuppressed,15366,16406.5,46628,30448,7116,2889,PrivacySuppressed
101994,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
102030,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
102049,23000,9500,18750,18123.5,15674.5,16799.5,18750,17187.5,17500,18610,17000,33375,26983,8250,5429,0.87100894
