UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
4206.0,,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,0.0,0.0059,0.0138,,,,,,,,,,,,,0.4831,0.5169
11383.0,,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,,,,,,,,,,,,,0.4169,0.5831
291.0,,0.299,0.4192,0.0069,0.0034,0.0,0.0,0.0,0.0,0.2715,,,,,,,,,,,,,0.3986,0.6014
5451.0,,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,0.0172,0.0332,0.035,,,,,,,,,,,,,0.5733,0.4267
4811.0,,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,0.0098,0.0243,0.0137,,,,,,,,,,,,,0.3877,0.6123
29851.0,,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,0.0261,0.0268,0.0026,,,,,,,,,,,,,0.45799999999999996,0.542
1592.0,,0.7255,0.2613,0.0044,0.0025,0.0044,0.0,0.0,0.0,0.0019,,,,,,,,,,,,,0.3756,0.6244
2991.0,,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0.0174,0.0057,0.0334,,,,,,,,,,,,,0.3434,0.6566
4304.0,,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,0.0297,0.0397,0.0246,,,,,,,,,,,,,0.3648,0.6352
20514.0,,0.8507,0.0704,0.0248,0.0227,0.0074,0.0,0.0,0.01,0.013999999999999999,,,,,,,,,,,,,0.5103,0.4897
1180.0,,0.7983,0.1102,0.0195,0.0517,0.0102,0.0,0.0051,0.0,0.0051,,,,,,,,,,,,,0.5381,0.4619
