UNITID,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,DEP_INC_AVG,IND_INC_AVG,FAMINC,MD_FAMINC,FAMINC_IND,LNFAMINC,LNFAMINC_IND,MEDIAN_HH_INC
100654,PrivacySuppressed,0.3788958148,0.6059661621,33370.062501,9184.1313978,30235.73401,21595.33186,9184.1313978,,,
100663,PrivacySuppressed,0.3345283442,0.6428411382,59212.341812,28786.1557,49731.07607,34491.4012,28786.1557,,,
100690,PrivacySuppressed,0.546184739,0.3975903614,30720.839981,18578.064211,19862.04352,15191.78276,18578.064211,,,
100706,PrivacySuppressed,0.3152468801,0.6570808464,67430.323934,25117.976718,52681.57006,36239.77182,25117.976718,,,
100724,PrivacySuppressed,0.36360211,0.6194423512,33576.943026,6974.2969861,29758.63871,21737.27737,6974.2969861,,,
100751,PrivacySuppressed,0.2361985472,0.7554479419,98257.494906,31272.7199,88316.01753,63166.00672,31272.7199,,,
100760,PrivacySuppressed,0.5057471264,0.4394341291,33593.586859,16641.260786,26908.71096,18481.05132,16641.260786,,,
100812,PrivacySuppressed,0.424366872,0.5284052019,59497.628196,31878.354578,39822.65557,29270.71273,31878.354578,,,
100830,PrivacySuppressed,0.3654871546,0.6126999515,45500.034622,20075.996323,38442.71035,25555.25053,20075.996323,,,
100858,PrivacySuppressed,0.1914414414,0.8011261261,94640.349996,20581.499027,88069.56908,66831.18872,20581.499027,,,
100937,PrivacySuppressed,PrivacySuppressed,0.8,94997.340946,9180.0503423,92909.32901,70831.32582,9180.0503423,,,
101028,PrivacySuppressed,0.4090587403,0.5576786978,31222.200637,20284.935236,25750.20262,19992.12184,20284.935236,,,
101073,PrivacySuppressed,0.4924406048,0.4665226782,21177.621386,5346.4966897,18578.48151,15246.5518,5346.4966897,,,
101116,PrivacySuppressed,0.4371619813,0.5125568942,38069.699325,23921.300543,27147.41908,18693.84422,23921.300543,,,
101143,PrivacySuppressed,0.4015088013,0.5465213747,35578.594638,17630.886712,27597.53774,19973.63992,17630.886712,,,
101161,PrivacySuppressed,0.4245069512,0.5415454252,39250.446497,21506.398762,32460.52765,21460.95193,21506.398762,,,
101189,PrivacySuppressed,0.3970037453,0.5686641698,53103.010091,24625.692916,36585.55437,23765.73465,24625.692916,,,
101240,PrivacySuppressed,0.4625087596,0.4639103013,22276.435394,13682.252898,17980.63495,14834.59624,13682.252898,,,
101277,PrivacySuppressed,0.503875969,PrivacySuppressed,35620.791427,16951.090565,25917.46006,17611.20832,16951.090565,,,
101286,PrivacySuppressed,0.4584040747,0.4702886248,21556.042922,15624.604481,18747.87088,15747.91366,15624.604481,,,
101295,PrivacySuppressed,0.4524872449,0.4709821429,43821.554106,20768.672974,34233.36415,24195.45786,20768.672974,,,
101301,PrivacySuppressed,0.4758333333,0.495,16940.733237,11206.293031,14869.84765,14055.18635,11206.293031,,,
