INC_PCT_LO,DEP_STAT_PCT_IND,DEP_INC_PCT_LO,IND_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEP_INC_PCT_M1,DEP_INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,IND_INC_PCT_M1,IND_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2
0.6515211379,0.1295930462,0.6091693146,0.9359756098,0.3940338379,0.167917819,0.0975898854,0.0513630976,0.0316080601,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4627393838,0.3116153206,0.3667977018,0.6746826987,0.3571588618,0.1623646961,0.1388426311,0.1286427977,0.1074104913,0.1699425461,0.1572422135,0.1596613245,0.1463562141,0.1456245825,0.0981963928,0.0601202405,0.0213760855
0.7975830816,0.8942598187,PrivacySuppressed,PrivacySuppressed,0.6024096386,0.1359516616,0.0332326284,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4565544952,0.3485685585,0.3176561295,0.7161383285,0.3429191536,0.1376192868,0.1426418885,0.138121547,0.1250627825,0.1403238242,0.1711642251,0.1865844256,0.1842713955,0.1325648415,0.0893371758,0.0475504323,0.0144092219
0.6714959569,0.1435309973,0.6219512195,0.9671361502,0.3805576488,0.1644204852,0.0838948787,0.0488544474,0.0313342318,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.2897661496,0.1484139847,0.2312398042,0.6255850234,0.2445520581,0.1319749942,0.1404260245,0.1465617041,0.2912711276,0.1306416531,0.141245242,0.1595976074,0.3372756933,0.139625585,0.135725429,0.0717628705,0.027301092
0.663093415,0.3943338438,0.5587863464,0.8233009709,0.5605658709,0.1615620214,0.0995405819,0.0574272588,0.0183767228,0.198482933,0.1352718078,PrivacySuppressed,PrivacySuppressed,0.1048543689,0.0446601942,PrivacySuppressed,PrivacySuppressed
0.5201793722,0.7123638693,0.3073496659,0.6061151079,0.4715947981,0.1851377322,0.1588725176,0.0896860987,0.0461242793,0.1870824053,0.1915367483,0.1893095768,0.1247216036,0.184352518,0.1456834532,0.0494604317,0.0143884892
0.5729800174,0.2775847089,0.4990980156,0.765258216,0.3873000485,0.1672458732,0.1103388358,0.0877497828,0.0616854909,0.1755862898,0.1280817799,PrivacySuppressed,PrivacySuppressed,0.1455399061,0.0641627543,PrivacySuppressed,PrivacySuppressed
0.2746940559,0.0887237762,0.2230215827,0.8054187192,0.1988738739,0.1304632867,0.1418269231,0.1606206294,0.2923951049,0.1340527578,0.1491606715,PrivacySuppressed,PrivacySuppressed,0.0935960591,0.0665024631,PrivacySuppressed,PrivacySuppressed
0.2311435523,0.0243309002,PrivacySuppressed,PrivacySuppressed,0.2,0.1143552311,0.1824817518,0.1946472019,0.2773722628,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6990769231,0.5003076923,0.6206896552,0.7773677737,0.4423213022,0.1643076923,0.0892307692,0.0344615385,0.0129230769,0.1921182266,0.1083743842,PrivacySuppressed,PrivacySuppressed,0.1365313653,0.0701107011,PrivacySuppressed,PrivacySuppressed
0.8152985075,0.1641791045,PrivacySuppressed,PrivacySuppressed,0.5334773218,0.1138059701,0.0503731343,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7032266573,0.7719799543,0.5725853094,0.7418142475,0.4874431058,0.1410673466,0.0858097415,0.0443115878,0.0255846668,0.1773664932,0.1150954309,0.0788509736,0.0561017929,0.1303456523,0.0771596151,0.0341096748,0.0165708103
0.6659482759,0.444683908,0.5446313066,0.817447496,0.4534786253,0.1724137931,0.0962643678,0.0431034483,0.0222701149,0.2186287193,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1147011309,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6401734104,0.3826589595,0.5529026217,0.7809667674,0.4584545748,0.1404624277,0.1101156069,0.0760115607,0.0332369942,0.1530898876,0.1390449438,0.1058052434,0.0491573034,0.1200906344,0.0634441088,0.0279456193,0.0075528701
0.6025778733,0.5800214823,0.4194373402,0.7351851852,0.4313358302,0.1525241676,0.1181525242,0.0757250269,0.0510204082,0.1572890026,0.1726342711,PrivacySuppressed,PrivacySuppressed,0.1490740741,0.0787037037,PrivacySuppressed,PrivacySuppressed
0.7915289877,0.4998498047,0.7093093093,0.8737980769,0.5360896987,0.1435866627,0.0609792731,PrivacySuppressed,PrivacySuppressed,0.2066066066,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0805288462,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6842105263,0.5197368421,0.5342465753,0.8227848101,0.5503875969,0.1447368421,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7910983489,0.4734386217,0.7327880027,0.8559514784,0.5297113752,0.148241206,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1901840491,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1015921152,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.585520623,0.415921546,0.4562962963,0.7669902913,0.5290178571,0.1655610037,0.1370060571,0.0813383329,0.0305739833,0.1861728395,0.1832098765,PrivacySuppressed,PrivacySuppressed,0.1366158114,0.0721220527,PrivacySuppressed,PrivacySuppressed
0.8716461204,0.3611312545,0.839954597,0.9277108434,0.505,0.09862219,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7406312803,0.8600307365,0.5557432432,0.7707216495,0.5277980447,0.128502187,0.0754226268,0.0378295307,0.0176143752,0.1334459459,0.1351351351,0.1072635135,0.0684121622,0.1276975945,0.0657044674,0.0265292096,0.009347079
0.4020467836,0.2909356725,0.3278350515,0.5829145729,0.3275590551,0.1754385965,0.1432748538,0.1257309942,0.1535087719,0.1525773196,0.1525773196,PrivacySuppressed,PrivacySuppressed,0.2311557789,0.1206030151,PrivacySuppressed,PrivacySuppressed
0.6875,0.65625,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8603988604,0.6913580247,0.7784615385,0.896978022,0.5936794582,0.1082621083,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1692307692,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.081043956,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4515389653,0.2701375246,0.398384926,0.5951515152,0.413028169,0.1833660773,0.156843484,0.1339227243,0.0743287492,0.1834903544,0.1659937192,0.1547779273,0.0973530731,0.183030303,0.1321212121,0.0775757576,0.0121212121
0.7799717913,0.437235543,0.7243107769,0.8516129032,0.5500821018,0.167842031,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2180451128,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1032258065,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6271571299,0.4489100817,0.5055624227,0.7764289327,0.4873756695,0.1525885559,0.1178474114,0.0644868302,0.0379200727,0.1792336218,0.1536876803,0.0980634528,0.0634528224,0.1198786039,0.0738492666,0.0232675771,0.0065756196
0.6252085264,0.4556070436,0.505277494,0.7685109845,0.4918952618,0.1519925857,0.1151065802,0.0658016682,0.0418906395,0.1695607763,0.1549199864,0.100783112,0.0694586313,0.1310008137,0.067534581,0.0240032547,0.0089503662
0.6584507042,0.5211267606,0.4264705882,0.8716216216,0.4605809129,0.1126760563,0.1373239437,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8332681018,0.4328767123,0.768115942,0.9186256781,0.4386446886,0.1295499022,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1856452726,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0560578662,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.5989304813,0.2156862745,0.5284090909,0.8553719008,0.3970149254,0.1399286988,0.1051693405,0.0909090909,0.0650623886,0.1568181818,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0785123967,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.75,0.3438596491,0.7152406417,0.8163265306,0.5244399185,0.1745614035,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2032085561,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1198979592,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
