UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,INEXPFTE
100654,9096.0,16596.0,,9427.0,7437.0
100663,7510.0,17062.0,,9899.0,17920.0
100690,6900.0,6900.0,,12459.0,5532.0
100706,9158.0,21232.0,,8956.0,10211.0
100724,8720.0,15656.0,,7733.0,7618.0
100751,9826.0,24950.0,,12791.0,10239.0
100760,3491.0,6576.0,,2100.0,6847.0
100812,,,,5476.0,6446.0
100830,9080.0,19640.0,,8071.0,6837.0
100858,10200.0,27384.0,,14135.0,11704.0
100937,31708.0,31708.0,,10266.0,10658.0
101028,4320.0,7710.0,,1641.0,4207.0
101073,10320.0,10320.0,,5768.0,6755.0
101116,16360.0,16360.0,,14833.0,6605.0
101143,3976.0,7140.0,,2055.0,5522.0
101161,4260.0,7650.0,,2423.0,4157.0
101189,18750.0,18750.0,,11127.0,5826.0
101240,3168.0,5880.0,,1702.0,5831.0
101277,,,10050.0,7986.0,1961.0
101286,3960.0,7350.0,,1928.0,6181.0
101295,4260.0,7650.0,,2551.0,5159.0
101301,3960.0,7350.0,,1184.0,5861.0
101365,12790.0,12790.0,,11395.0,5800.0
101435,24550.0,24550.0,,10131.0,6435.0
101453,9792.0,9792.0,,10966.0,9085.0
101462,3384.0,6096.0,,1292.0,4944.0
101480,7092.0,13884.0,,6447.0,7283.0
101499,3968.0,7358.0,,1178.0,5279.0
101505,4320.0,7710.0,,2708.0,4733.0
101514,4260.0,7650.0,,3170.0,3706.0
101541,16258.0,16258.0,,8101.0,11427.0
101569,4290.0,7710.0,,1374.0,6161.0
101587,8018.0,14886.0,,7928.0,7552.0
101602,4230.0,7620.0,,1684.0,6246.0
101648,8778.0,14778.0,,3286.0,5088.0
101675,11604.0,11604.0,,5202.0,5140.0
101693,19475.0,19475.0,,9947.0,6766.0
101709,10660.0,21220.0,,7568.0,7972.0
101736,4231.0,7621.0,,1624.0,5099.0
101879,7412.0,13268.0,,6702.0,7218.0
101897,4260.0,7650.0,,1845.0,5637.0
101912,16720.0,16720.0,,11693.0,7701.0
101949,4260.0,7650.0,,1528.0,5962.0
101958,9685.0,9685.0,,24156.0,9188.0
101994,4320.0,7710.0,,1888.0,9032.0
102030,4260.0,7650.0,,1494.0,5895.0
102049,27324.0,27324.0,,18352.0,14553.0
102058,6680.0,6680.0,,7596.0,6907.0
102067,3960.0,7350.0,,2132.0,4615.0
102076,4320.0,7710.0,,2171.0,3230.0
102094,7188.0,14076.0,,7295.0,10870.0
102234,32468.0,32468.0,,12082.0,7460.0
102261,11370.0,11370.0,,10634.0,4617.0
102270,15865.0,15865.0,,21345.0,9567.0
102298,12509.0,12509.0,,18039.0,8739.0
102313,3336.0,6048.0,,2493.0,8227.0
102368,7564.0,14092.0,,8632.0,5643.0
102377,19570.0,19570.0,,14104.0,14344.0
102395,,,,14687.0,3335.0
102429,4290.0,7680.0,,1961.0,6554.0
102553,5494.0,16466.0,,5843.0,10594.0
102580,9300.0,9300.0,,8132.0,9585.0
102614,5246.0,16238.0,,6491.0,16892.0
102632,5901.0,16705.0,,6117.0,12814.0
102669,19610.0,19610.0,,13383.0,11261.0
102711,,,1320.0,4340.0,21957.0
102845,19532.0,19532.0,,8755.0,2617.0
103501,,,14290.0,11905.0,4178.0
103644,12204.0,12204.0,,13130.0,7785.0
103723,,,,33714.0,15126.0
103732,,,16750.0,8183.0,13914.0
103741,,,16750.0,8029.0,6111.0
103778,,,,71514.0,55110.0
103787,11700.0,11700.0,,3313.0,8378.0
103811,,,9150.0,7854.0,5458.0
103893,,,14283.0,13638.0,3582.0
103909,,,14283.0,14755.0,6542.0
103927,,,14283.0,13497.0,2581.0
103945,16968.0,16968.0,,17541.0,3873.0
103954,,,14500.0,10287.0,6566.0
103963,,,19220.0,17356.0,7086.0
104090,,,85000.0,16664.0,6269.0
104151,10157.0,24503.0,,12460.0,9671.0
104160,2480.0,8085.0,,679.0,5285.0
104179,10957.0,29421.0,,12441.0,12071.0
104188,23069.0,23069.0,,19099.0,2963.0
104346,2400.0,10440.0,,1192.0,6512.0
104364,13203.0,13203.0,,10380.0,3883.0
104391,,,11100.0,8454.0,1830.0
104425,1800.0,6000.0,,744.0,3140.0
104434,,,16750.0,8056.0,6584.0
104443,,,17422.0,8320.0,6356.0
104504,,,11194.0,7758.0,3265.0
104568,,,16000.0,7516.0,3770.0
104577,2000.0,9200.0,,752.0,5555.0
104586,31648.0,31648.0,,26607.0,14781.0
104665,,,,52798.0,38544.0
104708,2046.0,7830.0,,1489.0,4684.0
104717,17050.0,17050.0,,10550.0,1837.0
104911,,,15495.0,9428.0,5705.0
105145,2046.0,7830.0,,2394.0,5491.0
105154,2046.0,7830.0,,1957.0,4701.0
105163,18048.0,18048.0,,19470.0,1722.0
105172,18048.0,18048.0,,19621.0,1925.0
105206,2088.0,6888.0,,1568.0,3613.0
105215,,,29500.0,9773.0,3365.0
105297,725.0,725.0,,157.0,9532.0
